0	"growing"	vn.role:Location	"field"
26	"used"	vn.role:Theme	"immuno-sensor"
26	"used"	local:AM-MOD	"can"
26	"protein g."	rdfs:subClassOf	"g."
26	"binds to protein g."	local:to_proteing.	"binds"
26	"binds to protein g."	local:binds_to	"protein g."
26	"used"	vn.role:Recipient	"antibody"
26	"binds"	vn.role:Theme	"antibody"
26	"protein g"	rdfs:subClassOf	"g"
26	"protein"	rdfs:member	"protein g"
26	"protein g."	rdfs:subClassOf	"g."
26	"binds"	vn.role:Destination	"protein g."
