s26.1	"monitoring"
s26.1	"monitoring"	rdf:predicate	"monitor"
s11	"susceptibility for logistic regression analysis"	rdfs:member	"susceptibility"
s11	"susceptibility for logistic regression analysis"	rdfs:member	"logistic regression analysis"
s11	"investigate the susceptibility for logistic regression analysis"	rdf:predicate	"investigate"
s10.1	"the association between epilepsy a 1 to 6 ratio propensity score matching"
s10.1	"the association between epilepsy a 1 to 6 ratio propensity score matching"	rdf:subject	"association between epilepsy a 1 to 6 ratio propensity score match"
s10.1	"association between epilepsy a 1 to 6 ratio propensity score match"	rdfs:member	"ratio propensity score match"
s10.1	"association between epilepsy a 1 to 6 ratio propensity score match"	rdfs:member	"epilepsy"
s10.1	"association between epilepsy a 1 to 6 ratio propensity score match"	rdfs:member	"association"
s10.1	"propensity score"	rdfs:member	"propensity"
s10.1	"ratio propensity score match"	rdfs:subClassOf	"match"
s10.1	"ratio propensity"	rdfs:member	"ratio"
s10.1	"ratio propensity score match"	rdfs:member	"ratio propensity score"
s10.1	"ratio propensity score"	rdfs:subClassOf	"score"
s10.1	"propensity score"	rdfs:subClassOf	"score"
s10.1	"score match"	rdfs:subClassOf	"match"
s10.1	"score match"	rdfs:member	"score"
s10.1	"ratio propensity score"	rdfs:member	"ratio propensity"
s10.1	"propensity score match"	rdfs:member	"propensity score"
s10.1	"ratio propensity"	rdfs:subClassOf	"propensity"
s10.1	"propensity score match"	rdfs:subClassOf	"match"
s10.1	"propensity score match"	rdfs:subClassOf	"score match"
s10.1	"ratio propensity score match"	rdfs:subClassOf	"propensity score match"
s10.1	"6 ratio propensity score match"	rdfs:subClassOf	"ratio propensity score match"
s10.1	"1 6"	rdfs:subClassOf	"6"
s10.1	"association between epilepsy"	rdfs:member	"association"
s10.1	"association between epilepsy"	rdfs:member	"epilepsy"
s10.1	"the association between epilepsy a 1 to 6 ratio propensity score matching"	rdf:predicate	"perform"
s10	"investigate the association between epilepsy a 1 to 6 ratio propensity score matching"
s10	"investigate the association between epilepsy a 1 to 6 ratio propensity score matching"	rdf:subject	"association between epilepsy a 1 to 6 ratio propensity score match"
s10	"association between epilepsy a 1 to 6 ratio propensity score match"	rdfs:member	"ratio propensity score match"
s10	"association between epilepsy a 1 to 6 ratio propensity score match"	rdfs:member	"epilepsy"
s10	"association between epilepsy a 1 to 6 ratio propensity score match"	rdfs:member	"association"
s10	"propensity score"	rdfs:member	"propensity"
s10	"ratio propensity score match"	rdfs:subClassOf	"match"
s10	"ratio propensity"	rdfs:member	"ratio"
s10	"ratio propensity score match"	rdfs:member	"ratio propensity score"
s10	"ratio propensity score"	rdfs:subClassOf	"score"
s10	"propensity score"	rdfs:subClassOf	"score"
s10	"score match"	rdfs:subClassOf	"match"
s10	"score match"	rdfs:member	"score"
s10	"ratio propensity score"	rdfs:member	"ratio propensity"
s10	"propensity score match"	rdfs:member	"propensity score"
s10	"ratio propensity"	rdfs:subClassOf	"propensity"
s10	"propensity score match"	rdfs:subClassOf	"match"
s10	"propensity score match"	rdfs:subClassOf	"score match"
s10	"ratio propensity score match"	rdfs:subClassOf	"propensity score match"
s10	"6 ratio propensity score match"	rdfs:subClassOf	"ratio propensity score match"
s10	"1 6"	rdfs:subClassOf	"6"
s10	"association between epilepsy"	rdfs:member	"association"
s10	"association between epilepsy"	rdfs:member	"epilepsy"
s10	"investigate the association between epilepsy a 1 to 6 ratio propensity score matching"	rdf:predicate	"investigate"
s9.1	"severe complications of coronavirus disease 2019 a 1 to 6 ratio propensity score matching"
s9.1	"severe complications of coronavirus disease 2019 a 1 to 6 ratio propensity score matching"	rdf:subject	"severe complication of coronavirus disease 2019 a 1 to 6 ratio propensity score match"
s9.1	"severe complication of coronavirus disease 2019 a 1 to 6 ratio propensity score match"	rdfs:member	"ratio propensity score match"
s9.1	"severe complication of coronavirus disease 2019 a 1 to 6 ratio propensity score match"	rdfs:member	"severe complication"
s9.1	"severe complication of coronavirus disease 2019 a 1 to 6 ratio propensity score match"	rdfs:member	"coronavirus disease"
s9.1	"severe complication"	rdfs:subClassOf	"complication"
s9.1	"propensity score"	rdfs:member	"propensity"
s9.1	"ratio propensity score match"	rdfs:subClassOf	"match"
s9.1	"ratio propensity"	rdfs:member	"ratio"
s9.1	"ratio propensity score match"	rdfs:member	"ratio propensity score"
s9.1	"coronavirus disease"	rdfs:subClassOf	"disease"
s9.1	"ratio propensity score"	rdfs:subClassOf	"score"
s9.1	"coronavirus disease"	rdfs:member	"coronavirus"
s9.1	"propensity score"	rdfs:subClassOf	"score"
s9.1	"score match"	rdfs:subClassOf	"match"
s9.1	"score match"	rdfs:member	"score"
s9.1	"ratio propensity score"	rdfs:member	"ratio propensity"
s9.1	"propensity score match"	rdfs:member	"propensity score"
s9.1	"ratio propensity"	rdfs:subClassOf	"propensity"
s9.1	"severe complication"	rdfs:member	"severe"
s9.1	"propensity score match"	rdfs:subClassOf	"match"
s9.1	"propensity score match"	rdfs:subClassOf	"score match"
s9.1	"ratio propensity score match"	rdfs:subClassOf	"propensity score match"
s9.1	"6 ratio propensity score match"	rdfs:subClassOf	"ratio propensity score match"
s9.1	"1 6"	rdfs:subClassOf	"6"
s9.1	"2019 disease"	rdfs:subClassOf	"disease"
s9.1	"coronavirus 2019 disease"	rdfs:subClassOf	"2019 disease"
s9.1	"severe complication of coronavirus 2019 disease"	rdfs:member	"severe complication"
s9.1	"severe complication of coronavirus 2019 disease"	rdfs:member	"coronavirus 2019 disease"
s9.1	"severe complications of coronavirus disease 2019 a 1 to 6 ratio propensity score matching"	rdf:predicate	"perform"
s9	"investigate severe complications of coronavirus disease 2019 a 1 to 6 ratio propensity score matching"
s9	"investigate severe complications of coronavirus disease 2019 a 1 to 6 ratio propensity score matching"	rdf:subject	"severe complication of coronavirus disease 2019 a 1 to 6 ratio propensity score match"
s9	"severe complication of coronavirus disease 2019 a 1 to 6 ratio propensity score match"	rdfs:member	"ratio propensity score match"
s9	"severe complication of coronavirus disease 2019 a 1 to 6 ratio propensity score match"	rdfs:member	"severe complication"
s9	"severe complication of coronavirus disease 2019 a 1 to 6 ratio propensity score match"	rdfs:member	"coronavirus disease"
s9	"severe complication"	rdfs:subClassOf	"complication"
s9	"propensity score"	rdfs:member	"propensity"
s9	"ratio propensity score match"	rdfs:subClassOf	"match"
s9	"ratio propensity"	rdfs:member	"ratio"
s9	"ratio propensity score match"	rdfs:member	"ratio propensity score"
s9	"coronavirus disease"	rdfs:subClassOf	"disease"
s9	"ratio propensity score"	rdfs:subClassOf	"score"
s9	"coronavirus disease"	rdfs:member	"coronavirus"
s9	"propensity score"	rdfs:subClassOf	"score"
s9	"score match"	rdfs:subClassOf	"match"
s9	"score match"	rdfs:member	"score"
s9	"ratio propensity score"	rdfs:member	"ratio propensity"
s9	"propensity score match"	rdfs:member	"propensity score"
s9	"ratio propensity"	rdfs:subClassOf	"propensity"
s9	"severe complication"	rdfs:member	"severe"
s9	"propensity score match"	rdfs:subClassOf	"match"
s9	"propensity score match"	rdfs:subClassOf	"score match"
s9	"ratio propensity score match"	rdfs:subClassOf	"propensity score match"
s9	"6 ratio propensity score match"	rdfs:subClassOf	"ratio propensity score match"
s9	"1 6"	rdfs:subClassOf	"6"
s9	"2019 disease"	rdfs:subClassOf	"disease"
s9	"coronavirus 2019 disease"	rdfs:subClassOf	"2019 disease"
s9	"severe complication of coronavirus 2019 disease"	rdfs:member	"severe complication"
s9	"severe complication of coronavirus 2019 disease"	rdfs:member	"coronavirus 2019 disease"
s9	"investigate severe complications of coronavirus disease 2019 a 1 to 6 ratio propensity score matching"	rdf:predicate	"investigate"
s8.1	"the susceptibility for a 1 to 6 ratio propensity score matching"
s8.1	"the susceptibility for a 1 to 6 ratio propensity score matching"	rdf:subject	"susceptibility for a 1 to 6 ratio propensity score match"
s8.1	"susceptibility for a 1 to 6 ratio propensity score match"	rdfs:member	"ratio propensity score match"
s8.1	"susceptibility for a 1 to 6 ratio propensity score match"	rdfs:member	"susceptibility"
s8.1	"propensity score"	rdfs:member	"propensity"
s8.1	"ratio propensity score match"	rdfs:subClassOf	"match"
s8.1	"ratio propensity"	rdfs:member	"ratio"
s8.1	"ratio propensity score match"	rdfs:member	"ratio propensity score"
s8.1	"ratio propensity score"	rdfs:subClassOf	"score"
s8.1	"propensity score"	rdfs:subClassOf	"score"
s8.1	"score match"	rdfs:subClassOf	"match"
s8.1	"score match"	rdfs:member	"score"
s8.1	"ratio propensity score"	rdfs:member	"ratio propensity"
s8.1	"propensity score match"	rdfs:member	"propensity score"
s8.1	"ratio propensity"	rdfs:subClassOf	"propensity"
s8.1	"propensity score match"	rdfs:subClassOf	"match"
s8.1	"propensity score match"	rdfs:subClassOf	"score match"
s8.1	"ratio propensity score match"	rdfs:subClassOf	"propensity score match"
s8.1	"6 ratio propensity score match"	rdfs:subClassOf	"ratio propensity score match"
s8.1	"1 6"	rdfs:subClassOf	"6"
s8.1	"susceptibility for 6 ratio propensity score match"	rdfs:member	"susceptibility"
s8.1	"susceptibility for 6 ratio propensity score match"	rdfs:member	"6 ratio propensity score match"
s8.1	"the susceptibility for a 1 to 6 ratio propensity score matching"	rdf:predicate	"perform"
s8	"investigate the susceptibility for a 1 to 6 ratio propensity score matching were performed"
s8	"investigate the susceptibility for a 1 to 6 ratio propensity score matching were performed"	rdf:subject	"susceptibility for a 1 to 6 ratio propensity score match be perform"
s8	"susceptibility for a 1 to 6 ratio propensity score match be perform"	rdfs:member	"ratio propensity score match"
s8	"susceptibility for a 1 to 6 ratio propensity score match be perform"	rdfs:member	"susceptibility"
s8	"propensity score"	rdfs:member	"propensity"
s8	"ratio propensity score match"	rdfs:subClassOf	"match"
s8	"ratio propensity"	rdfs:member	"ratio"
s8	"ratio propensity score match"	rdfs:member	"ratio propensity score"
s8	"ratio propensity score"	rdfs:subClassOf	"score"
s8	"propensity score"	rdfs:subClassOf	"score"
s8	"score match"	rdfs:subClassOf	"match"
s8	"score match"	rdfs:member	"score"
s8	"ratio propensity score"	rdfs:member	"ratio propensity"
s8	"propensity score match"	rdfs:member	"propensity score"
s8	"ratio propensity"	rdfs:subClassOf	"propensity"
s8	"propensity score match"	rdfs:subClassOf	"match"
s8	"propensity score match"	rdfs:subClassOf	"score match"
s8	"ratio propensity score match"	rdfs:subClassOf	"propensity score match"
s8	"6 ratio propensity score match"	rdfs:subClassOf	"ratio propensity score match"
s8	"1 6"	rdfs:subClassOf	"6"
s8	"susceptibility for 6 ratio propensity score match"	rdfs:member	"susceptibility"
s8	"susceptibility for 6 ratio propensity score match"	rdfs:member	"6 ratio propensity score match"
s8	"investigate the susceptibility for a 1 to 6 ratio propensity score matching were performed"	rdf:predicate	"investigate"
s7.1	"to investigate the association between epilepsy logistic regression analysis"
s7.1	"to investigate the association between epilepsy logistic regression analysis"	rdf:predicate	"perform"
s7.1	"to investigate the association between epilepsy logistic regression analysis"	local:AM-PNC	"investigate the association between epilepsy logistic regression analysis"
s7.1	"investigate the association between epilepsy logistic regression analysis"	rdfs:member	"logistic regression analysis"
s7.1	"investigate the association between epilepsy logistic regression analysis"	rdfs:member	"epilepsy"
s7.1	"investigate the association between epilepsy logistic regression analysis"	rdfs:member	"association"
s7.1	"logistic regression analysis"	rdfs:subClassOf	"analysis"
s7.1	"logistic regression"	rdfs:subClassOf	"regression"
s7.1	"regression analysis"	rdfs:member	"regression"
s7.1	"logistic regression analysis"	rdfs:member	"logistic regression"
s7.1	"regression analysis"	rdfs:subClassOf	"analysis"
s7.1	"logistic regression"	rdfs:member	"logistic"
s7.1	"logistic regression analysis"	rdfs:subClassOf	"regression analysis"
s7.1	"epilepsy logistic regression analysis"	rdfs:subClassOf	"logistic regression analysis"
s7.1	"association between epilepsy logistic regression analysis"	rdfs:member	"association"
s7.1	"association between epilepsy logistic regression analysis"	rdfs:member	"epilepsy logistic regression analysis"
s7	"investigate the association between epilepsy logistic regression analysis"
s7	"investigate the association between epilepsy logistic regression analysis"	rdf:subject	"association between epilepsy logistic regression analysis"
s7	"association between epilepsy logistic regression analysis"	rdfs:member	"logistic regression analysis"
s7	"association between epilepsy logistic regression analysis"	rdfs:member	"epilepsy"
s7	"association between epilepsy logistic regression analysis"	rdfs:member	"association"
s7	"logistic regression analysis"	rdfs:subClassOf	"analysis"
s7	"logistic regression"	rdfs:subClassOf	"regression"
s7	"regression analysis"	rdfs:member	"regression"
s7	"logistic regression analysis"	rdfs:member	"logistic regression"
s7	"regression analysis"	rdfs:subClassOf	"analysis"
s7	"logistic regression"	rdfs:member	"logistic"
s7	"logistic regression analysis"	rdfs:subClassOf	"regression analysis"
s7	"epilepsy logistic regression analysis"	rdfs:subClassOf	"logistic regression analysis"
s7	"association between epilepsy logistic regression analysis"	rdfs:member	"association"
s7	"association between epilepsy logistic regression analysis"	rdfs:member	"epilepsy logistic regression analysis"
s7	"investigate the association between epilepsy logistic regression analysis"	rdf:predicate	"investigate"
s6	"epilepsy defined to the presence of diagnostic code in health claims data before the coronavirus disease 2019 diagnosis"
s6	"epilepsy defined to the presence of diagnostic code in health claims data before the coronavirus disease 2019 diagnosis"	rdf:subject	"epilepsy"
s6	"epilepsy defined to the presence of diagnostic code in health claims data before the coronavirus disease 2019 diagnosis"	rdf:predicate	"define"
s6	"epilepsy defined to the presence of diagnostic code in health claims data before the coronavirus disease 2019 diagnosis"	rdf:object	"presence of diagnostic code in health claim data before the coronavirus disease 2019 diagnosis"
s6	"presence of diagnostic code in health claim data before the coronavirus disease 2019 diagnosis"	rdfs:member	"diagnostic code"
s6	"presence of diagnostic code in health claim data before the coronavirus disease 2019 diagnosis"	rdfs:member	"presence"
s6	"presence of diagnostic code in health claim data before the coronavirus disease 2019 diagnosis"	rdfs:member	"health claim data"
s6	"presence of diagnostic code in health claim data before the coronavirus disease 2019 diagnosis"	rdfs:member	"coronavirus disease"
s6	"presence of diagnostic code in health claim data before the coronavirus disease 2019 diagnosis"	rdfs:member	"diagnosis"
s6	"health claim"	rdfs:member	"health"
s6	"health claim"	rdfs:subClassOf	"claim"
s6	"diagnostic code"	rdfs:subClassOf	"code"
s6	"health claim data"	rdfs:subClassOf	"data"
s6	"claim data"	rdfs:member	"claim"
s6	"coronavirus disease"	rdfs:subClassOf	"disease"
s6	"claim data"	rdfs:subClassOf	"data"
s6	"diagnostic code"	rdfs:member	"diagnostic"
s6	"coronavirus disease"	rdfs:member	"coronavirus"
s6	"health claim data"	rdfs:member	"health claim"
s6	"2019 diagnosis"	rdfs:subClassOf	"diagnosis"
s6	"disease 2019 diagnosis"	rdfs:subClassOf	"2019 diagnosis"
s6	"coronavirus disease 2019 diagnosis"	rdfs:subClassOf	"disease 2019 diagnosis"
s6	"health claim data"	rdfs:subClassOf	"claim data"
s6	"presence of diagnostic code"	rdfs:member	"presence"
s6	"presence of diagnostic code"	rdfs:member	"diagnostic code"
s6	"presence of diagnostic code in health claim data"	rdfs:member	"presence of diagnostic code"
s6	"presence of diagnostic code in health claim data"	rdfs:member	"health claim data"
s6	"presence of diagnostic code in health claim data before coronavirus disease 2019 diagnosis"	rdfs:member	"presence of diagnostic code in health claim data"
s6	"presence of diagnostic code in health claim data before coronavirus disease 2019 diagnosis"	rdfs:member	"coronavirus disease 2019 diagnosis"
s5	"participants who underwent june 4 2020 from the korean nationwide coronavirus disease 2019 dataset"
s5	"participants who underwent june 4 2020 from the korean nationwide coronavirus disease 2019 dataset"	rdf:subject	"participant"
s5	"participants who underwent june 4 2020 from the korean nationwide coronavirus disease 2019 dataset"	rdf:predicate	"undergo"
s5	"participants who underwent june 4 2020 from the korean nationwide coronavirus disease 2019 dataset"	rdf:object	"korean nationwide coronavirus disease 2019 dataset"
s5	"korean nationwide coronavirus disease 2019 dataset"	rdfs:member	"korean nationwide coronavirus disease"
s5	"korean nationwide coronavirus disease 2019 dataset"	rdfs:member	"dataset"
s5	"korean nationwide coronavirus"	rdfs:subClassOf	"coronavirus"
s5	"korean nationwide coronavirus disease"	rdfs:member	"korean nationwide coronavirus"
s5	"nationwide coronavirus disease"	rdfs:subClassOf	"disease"
s5	"coronavirus disease"	rdfs:subClassOf	"disease"
s5	"korean nationwide coronavirus"	rdfs:member	"korean nationwide"
s5	"korean nationwide"	rdfs:subClassOf	"nationwide"
s5	"nationwide coronavirus"	rdfs:subClassOf	"coronavirus"
s5	"coronavirus disease"	rdfs:member	"coronavirus"
s5	"korean nationwide coronavirus disease"	rdfs:subClassOf	"disease"
s5	"nationwide coronavirus disease"	rdfs:member	"nationwide coronavirus"
s5	"nationwide coronavirus"	rdfs:member	"nationwide"
s5	"korean nationwide"	rdfs:member	"korean"
s5	"2019 disease"	rdfs:subClassOf	"disease"
s5	"coronavirus 2019 disease"	rdfs:subClassOf	"2019 disease"
s5	"nationwide coronavirus 2019 disease"	rdfs:subClassOf	"coronavirus 2019 disease"
s5	"korean nationwide coronavirus 2019 disease"	rdfs:subClassOf	"nationwide coronavirus 2019 disease"
s5	"participants who underwent june 4 2020 from the korean nationwide coronavirus disease 2019 dataset"	local:AM-TMP	"june 4 2020"
s5	"2020 june"	rdfs:subClassOf	"june"
s5	"4 2020"	rdfs:subClassOf	"2020"
s4	"we included participants"
s4	"we included participants"	rdf:subject	"participant"
s4	"we included participants"	rdf:predicate	"include"
s4	"we included participants"	rdf:object	"we"
s3	"participants who underwent at least 1 severe acute respiratory syndrome coronavirus 2 realtime reversetranscription pcr test between january 1"
s3	"participants who underwent at least 1 severe acute respiratory syndrome coronavirus 2 realtime reversetranscription pcr test between january 1"	rdf:subject	"participant"
s3	"participants who underwent at least 1 severe acute respiratory syndrome coronavirus 2 realtime reversetranscription pcr test between january 1"	rdf:predicate	"undergo"
s3	"participants who underwent at least 1 severe acute respiratory syndrome coronavirus 2 realtime reversetranscription pcr test between january 1"	rdf:object	"least 1 severe acute respiratory syndrome coronavirus 2 realtime reversetranscription pcr test"
s3	"least 1 severe acute respiratory syndrome coronavirus 2 realtime reversetranscription pcr test"	rdfs:member	"severe acute respiratory syndrome coronavirus"
s3	"least 1 severe acute respiratory syndrome coronavirus 2 realtime reversetranscription pcr test"	rdfs:member	"realtime reversetranscription pcr test"
s3	"acute respiratory syndrome"	rdfs:subClassOf	"syndrome"
s3	"reversetranscription pcr test"	rdfs:subClassOf	"test"
s3	"realtime reversetranscription pcr test"	rdfs:member	"realtime reversetranscription pcr"
s3	"syndrome coronavirus"	rdfs:member	"syndrome"
s3	"realtime reversetranscription pcr"	rdfs:subClassOf	"pcr"
s3	"severe acute respiratory syndrome"	rdfs:subClassOf	"syndrome"
s3	"realtime reversetranscription pcr"	rdfs:member	"realtime reversetranscription"
s3	"severe acute"	rdfs:subClassOf	"acute"
s3	"realtime reversetranscription"	rdfs:subClassOf	"reversetranscription"
s3	"severe acute respiratory syndrome coronavirus"	rdfs:subClassOf	"coronavirus"
s3	"severe acute respiratory syndrome coronavirus"	rdfs:member	"severe acute respiratory syndrome"
s3	"realtime reversetranscription pcr test"	rdfs:subClassOf	"test"
s3	"reversetranscription pcr test"	rdfs:member	"reversetranscription pcr"
s3	"respiratory syndrome"	rdfs:subClassOf	"syndrome"
s3	"severe acute respiratory syndrome"	rdfs:member	"severe acute respiratory"
s3	"severe acute respiratory"	rdfs:member	"severe acute"
s3	"severe acute respiratory"	rdfs:subClassOf	"respiratory"
s3	"acute respiratory syndrome coronavirus"	rdfs:subClassOf	"coronavirus"
s3	"realtime reversetranscription"	rdfs:member	"realtime"
s3	"acute respiratory"	rdfs:member	"acute"
s3	"syndrome coronavirus"	rdfs:subClassOf	"coronavirus"
s3	"severe acute"	rdfs:member	"severe"
s3	"pcr test"	rdfs:subClassOf	"test"
s3	"reversetranscription pcr"	rdfs:member	"reversetranscription"
s3	"respiratory syndrome coronavirus"	rdfs:member	"respiratory syndrome"
s3	"acute respiratory"	rdfs:subClassOf	"respiratory"
s3	"acute respiratory syndrome"	rdfs:member	"acute respiratory"
s3	"respiratory syndrome"	rdfs:member	"respiratory"
s3	"respiratory syndrome coronavirus"	rdfs:subClassOf	"coronavirus"
s3	"acute respiratory syndrome coronavirus"	rdfs:member	"acute respiratory syndrome"
s3	"pcr test"	rdfs:member	"pcr"
s3	"reversetranscription pcr"	rdfs:subClassOf	"pcr"
s3	"reversetranscription pcr test"	rdfs:subClassOf	"pcr test"
s3	"realtime reversetranscription pcr test"	rdfs:subClassOf	"reversetranscription pcr test"
s3	"2 realtime reversetranscription pcr test"	rdfs:subClassOf	"realtime reversetranscription pcr test"
s3	"coronavirus 2 realtime reversetranscription pcr test"	rdfs:subClassOf	"2 realtime reversetranscription pcr test"
s3	"respiratory syndrome coronavirus"	rdfs:subClassOf	"syndrome coronavirus"
s3	"acute respiratory syndrome coronavirus"	rdfs:subClassOf	"respiratory syndrome coronavirus"
s3	"severe acute respiratory syndrome coronavirus"	rdfs:subClassOf	"acute respiratory syndrome coronavirus"
s3	"1 severe acute respiratory syndrome coronavirus"	rdfs:subClassOf	"severe acute respiratory syndrome coronavirus"
s3	"least 1 severe acute respiratory syndrome coronavirus"	rdfs:subClassOf	"1 severe acute respiratory syndrome coronavirus"
s3	"participants who underwent at least 1 severe acute respiratory syndrome coronavirus 2 realtime reversetranscription pcr test between january 1"	local:AM-TMP	"january 1"
s3	"1 january"	rdfs:subClassOf	"january"
s2.1	"severe complications when infected with coronavirus disease 2019 compared with epilepsy"
s2.1	"severe complications when infected with coronavirus disease 2019 compared with epilepsy"	rdf:subject	"severe complication when infect with coronavirus disease 2019"
s2.1	"severe complication when infect with coronavirus disease 2019"	rdfs:member	"infect"
s2.1	"severe complication when infect with coronavirus disease 2019"	rdfs:member	"severe complication"
s2.1	"severe complication when infect with coronavirus disease 2019"	rdfs:member	"coronavirus disease"
s2.1	"severe complication"	rdfs:subClassOf	"complication"
s2.1	"severe complication"	rdfs:member	"severe"
s2.1	"coronavirus disease"	rdfs:subClassOf	"disease"
s2.1	"coronavirus disease"	rdfs:member	"coronavirus"
s2.1	"2019 disease"	rdfs:subClassOf	"disease"
s2.1	"coronavirus 2019 disease"	rdfs:subClassOf	"2019 disease"
s2.1	"when infect"	rdfs:subClassOf	"infect"
s2.1	"when infect with coronavirus 2019 disease"	rdfs:member	"when infect"
s2.1	"when infect with coronavirus 2019 disease"	rdfs:member	"coronavirus 2019 disease"
s2.1	"severe complications when infected with coronavirus disease 2019 compared with epilepsy"	rdf:predicate	"compare"
s2.1	"severe complications when infected with coronavirus disease 2019 compared with epilepsy"	rdf:object	"epilepsy"
s2	"when infected with coronavirus disease 2019"
s2	"when infected with coronavirus disease 2019"	rdf:predicate	"infect"
s2	"when infected with coronavirus disease 2019"	rdf:object	"coronavirus disease 2019"
s2	"coronavirus disease"	rdfs:subClassOf	"disease"
s2	"coronavirus disease"	rdfs:member	"coronavirus"
s2	"2019 disease"	rdfs:subClassOf	"disease"
s2	"coronavirus 2019 disease"	rdfs:subClassOf	"2019 disease"
s1	"evaluate whether patients with epilepsy were more susceptible to coronavirus disease 2019 infection"
s1	"evaluate whether patients with epilepsy were more susceptible to coronavirus disease 2019 infection"	rdf:subject	"whether patient with epilepsy be more susceptible to coronavirus disease 2019 infection"
s1	"whether patient with epilepsy be more susceptible to coronavirus disease 2019 infection"	rdfs:member	"infection"
s1	"whether patient with epilepsy be more susceptible to coronavirus disease 2019 infection"	rdfs:member	"disease"
s1	"whether patient with epilepsy be more susceptible to coronavirus disease 2019 infection"	rdfs:member	"epilepsy"
s1	"whether patient with epilepsy be more susceptible to coronavirus disease 2019 infection"	rdfs:member	"patient"
s1	"2019 disease"	rdfs:subClassOf	"disease"
s1	"coronavirus 2019 disease"	rdfs:subClassOf	"2019 disease"
s1	"more susceptible"	rdfs:subClassOf	"susceptible"
s1	"patient with epilepsy"	rdfs:member	"patient"
s1	"patient with epilepsy"	rdfs:member	"epilepsy"
s1	"more susceptible to coronavirus 2019 disease"	rdfs:member	"more susceptible"
s1	"more susceptible to coronavirus 2019 disease"	rdfs:member	"coronavirus 2019 disease"
s1	"evaluate whether patients with epilepsy were more susceptible to coronavirus disease 2019 infection"	rdf:predicate	"evaluate"
s0	"evaluate whether patients with epilepsy were more susceptible at greater risk of severe complications"
s0	"evaluate whether patients with epilepsy were more susceptible at greater risk of severe complications"	rdf:subject	"whether patient with epilepsy be more susceptible at greater risk of severe complication"
s0	"whether patient with epilepsy be more susceptible at greater risk of severe complication"	rdfs:member	"greater risk"
s0	"whether patient with epilepsy be more susceptible at greater risk of severe complication"	rdfs:member	"severe complication"
s0	"whether patient with epilepsy be more susceptible at greater risk of severe complication"	rdfs:member	"epilepsy"
s0	"whether patient with epilepsy be more susceptible at greater risk of severe complication"	rdfs:member	"patient"
s0	"severe complication"	rdfs:subClassOf	"complication"
s0	"greater risk"	rdfs:subClassOf	"risk"
s0	"greater risk"	rdfs:member	"greater"
s0	"severe complication"	rdfs:member	"severe"
s0	"more susceptible"	rdfs:subClassOf	"susceptible"
s0	"patient with epilepsy"	rdfs:member	"patient"
s0	"patient with epilepsy"	rdfs:member	"epilepsy"
s0	"more susceptible at greater risk"	rdfs:member	"more susceptible"
s0	"more susceptible at greater risk"	rdfs:member	"greater risk"
s0	"greater risk of severe complication"	rdfs:member	"greater risk"
s0	"greater risk of severe complication"	rdfs:member	"severe complication"
s0	"evaluate whether patients with epilepsy were more susceptible at greater risk of severe complications"	rdf:predicate	"evaluate"
